Col0,Col0_HREF,Col1,Col2,Col3,Col4,Col5,Col6_HREF,Col7_SRC
"Acta Ophthalmologica on X: """"Explore the latest research in ...",https://twitter.com/ActaOphthalmol/status/1843646547902509423,X (formerly Twitter),› ActaOphthalmol,"8 Oct 2024 ... The cover illustration highlights corneal vessels, as shown by Hou et al. from Germany ... Ophthalmology #Research #Publishing.",...,Germany,https://twitter.com/ActaOphthalmol/status/1843646547902509423,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-vYjlWWCaE6mqvK9RfpCVEbSY9UD2joyOsrz9od8N80MacNo6_sijGjRW&s
"Retina International on X: """"RI is delighted to announce the ...",https://twitter.com/Retina_Int/status/1852038970705883337,X (formerly Twitter),› Retina_Int,"31 Oct 2024 ... ... Germany, and the US” in JAMA Ophthalmology. Official press release : https://t.co/UWjTIcMwHo Full publication : https://t.co/CnoISM9haB #AMD ...",...,Germany,https://twitter.com/Retina_Int/status/1852038970705883337,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaQ_prR3e5WVdcGsBDbDAkQQjlu_6_uxcNkR9DCa5hcRu8bR_9r0rT7F0&s
"BiotechTV on X: """"BIO-Europe: Germany's Galimedix is developing ...",https://twitter.com/BiotechTVHQ/status/1853755312945201418,X (formerly Twitter),› BiotechTVHQ,5 Nov 2024 ... ... toxic Aβ upstream of where most others have focused - the lead programs are in ophthalmology. #BIOEurope Full video: https://t.co/5Tf2Hg3OuX.,...,ophthalmology,https://twitter.com/BiotechTVHQ/status/1853755312945201418,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFPPFvIBq_jqyAolZV5d6F-xiKO8-233dYbrBtuR-DChTvUgfVeWOg3Fk&s
"VetPD on X: """"COURSE CONFIRMED! Both of our Ophthalmology ...",https://twitter.com/VetPD/status/1834579702951886996,X (formerly Twitter),› VetPD,13 Sept 2024 ... COURSE CONFIRMED! Both of our Ophthalmology courses will definitely take place in Europe next month. Germany: https://t.co/EOxWdiZdDO ...,...,Ophthalmology,,
EyeSustain_Official (@EyeSustain_) / X,https://twitter.com/eyesustain_,X (formerly Twitter),› eyesustain_,EyeSustain is a global coalition of eye societies and ophthalmologists collaborating to make ophthalmic care and surgery more sustainable.,ophthalmologists,,https://twitter.com/eyesustain_,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUJHaypXMAsksdnbSIB2AdzP1XDGfKVFUT9e1fkqeERo0-6HvD8IehA6dm&s
IndividualEyes (@IndividualEyess) / X,https://twitter.com/individualeyess,X (formerly Twitter),› individualeyess,"Myopia Control. Optometrist (Eye Doctor) Richmond Hill, Ontario ... hand made in Germany, extremely light weight, minimalistic frames. 🛍️ The sale ...",Optometrist,Eye Doctor,https://twitter.com/individualeyess,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvgd7mKrJVDsgi2JD-QSDN0_cx2q-D8tGekXEwmwZWmlFXpWfyF4tTAYsP&s
"Ophthopedia on X: """"Ophthopedia Update: Epidemiology and ...",https://twitter.com/ophthopedia/status/1793190653301866927,X (formerly Twitter),› ophthopedia,22 May 2024 ... Ophthopedia Update: Epidemiology and Treatment of Patients With Primary Open Angle Glaucoma in Germany ... Ophthalmology #Ophthotwitter.,...,Germany,https://twitter.com/ophthopedia/status/1793190653301866927,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuYGqCYh6KVQyfwjjRlepBQ0kEYAyuQ9oq_9XT4S7xQUR5_g9xsOTkHlbZ&s
Haag-Streit Simulation (@HS_Simulation) / X,https://twitter.com/hs_simulation,X (formerly Twitter),› hs_simulation,"High-end virtual reality simulators for eye specialists and medical education. https://t.co/EXIkt6sFAd, https://t.co/Y2NKLNknBv…",eye specialists,,https://twitter.com/hs_simulation,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQexhmMgMkVyWo-W2Z2sRXMmTZKiNIstaCEnlddmD6fooXwdGI5T1aovoDj&s
"Michael F. Chiang, MD (@NEIDirector) / X",https://twitter.com/neidirector,X (formerly Twitter),› neidirector,(Germany): having pre-knowledge about whether a scene is static or moving changes saccadic eye movements. ... eye transplantation to restore vision for the ...,Germany,eye,https://twitter.com/neidirector,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRndgVRJlJT5hp5a9aEPhG5AqiqvQbTzChG2UUDpfkcP9WwWPqdBPJCFNp&s
TeleMedC (@TeleMedC1) / X,https://twitter.com/telemedc1,X (formerly Twitter),› telemedc1,Optometrist required for innovative primary eye care. https://linkedin.com ... TeleMedC on LinkedIn: #ai #eyecare #eyehealth #healthcare #rabbit #hamburg #germany ...,Optometrist,germany,https://twitter.com/telemedc1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNgqAgqCKYNzKqoHB4SPxERkFDikp7c7YtoCtltqlAolP8WFqET9jls-FI&s
George Mavro (@mavroinc) / X,https://twitter.com/mavroinc,X (formerly Twitter),› mavroinc,"Talk to your eye doctor about options that could help protect against vision loss. ... Nov 14, 2016. Report: Germany's Carl #Zeiss Looking for Takeovers ...",eye doctor,Germany's,https://twitter.com/mavroinc,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHlzxiXPE7E3ijtAxBGPovmCZegYtlPP1IkJXqV3B6akrLj8SBqt5ZtJc&s
"Packaging Europe on X: """"pricon, a wholesaler for optician stores in ...",https://twitter.com/PackagingEurope/status/1861409773154910393,X (formerly Twitter),› PackagingEurope,"26 Nov 2024 ... pricon, a wholesaler for optician stores in Germany, has announced it will be utilizing heycircle's reusable shipping packaging to cut waste ...",...,optician,https://twitter.com/PackagingEurope/status/1861409773154910393,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdT1WhpOUswPr4RPM0z6RGn4pef9l3Ig2nEYD6Ky-3FAPtTRCbJtip5OIF&s
Ophthalmology_Conference (@OphthalmicEvent) / X,https://twitter.com/ophthalmicevent,X (formerly Twitter),› ophthalmicevent,"#Sibylle_Scholtz from Institute of Experimental Ophthalmology, Germany as #oral_presentation at 2nd Edition of International Ophthalmology Conference organized ...",Ophthalmology,Germany,https://twitter.com/ophthalmicevent,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbeEv0dQGKhI7STL3otns-jlS3o1B1qtDc8gUn0--7Y-lfGXuERADs-OAQ&s
"Bayern News world on X: """"Hans-Joachim Watzke about the ...",https://twitter.com/BayernNewsw/status/1862875169804386507,X (formerly Twitter),› BayernNewsw,"30 Nov 2024 ... ... two clubs that have by far the most appeal in Germany. And anyone who doesn't see that should go see an eye doctor."""" [@SkySportDE] #BVBFCB.",...,Germany,https://twitter.com/BayernNewsw/status/1862875169804386507,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFFaiDIMDXM6TObeM6RfCqWo-g21UsIkxCvancg3hspsbJusb-2MBq_A&s=0
Sameer Kaushal (@drsameerkaushal) / X,https://twitter.com/drsameerkaushal,X (formerly Twitter),› drsameerkaushal,"Head ophthalmologist at Artemis Hospital and PL Memorial Eye Clinic, Gurgaon ... Making Gurgaon the Germany of India in all the wrong ways. Thanks Mr ...",ophthalmologist,Eye Clinic,https://twitter.com/drsameerkaushal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_VIiQ28Fz7w7m_k3jVLX62pb0iWKblFPuQ6RN3aiyIu9Ny2w2U8cJDbI&s
Jack Brown Eyecare (@jbeyecare) / X,https://twitter.com/jbeyecare,X (formerly Twitter),› jbeyecare,... germany #scottishnationalteam #tartanarmy #football #soccer #optician #eyes ... Please keep an eye out for more fund raising challenges later this year ...,germany,optician,https://twitter.com/jbeyecare,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR44K1tlmhOnmkGHe9wwsfcFENd23mYGhQ_zZl5UdPxin59zMnB5xK0PFQ&s
Gordon R. Hay Moorfields - X.com,https://twitter.com/gordonrhay_md,X (formerly Twitter),› gordonrhay_md,Associate Professor UCL Institute of Ophthalmology Doctor/Educator/Pilot Clinical Director A&E & Ocular Oncologist. Associate Professor: UCL Education.,Ophthalmology,,https://twitter.com/gordonrhay_md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhBP1HnSPhkkQyfs5urCOmKWNd8IMQEmUoB8igt1TJiyYIGf_zbeg-j7Hd&s
David A. Merle (@DocDaveAM) / X,https://twitter.com/docdaveam,X (formerly Twitter),› docdaveam,Apr 26 · #ARVO is the largest worldwide gathering of specialists in #ophthalmology. ... What is driving the new case records in Germany? The people who aren ...,ophthalmology,Germany,https://twitter.com/docdaveam,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGueuGPCPVgtUfKF9HFrIqUyUPPe6N_FO4pDjozAy7iX6KRySaQJvUmDKn&s
"Atanas Bogoev, MD, FEBO (@atanasbogoev) / X",https://twitter.com/atanasbogoev,X (formerly Twitter),› atanasbogoev,I have been in Germany ... Had the chance to try out the EyeSi (Eye Surgery Simulator) novosti2018 -the Bulgarian national Ophthalmology conference.,Germany,Ophthalmology,,
Entod Research Cell (@ercukltd) / X,https://twitter.com/ercukltd,X (formerly Twitter),› ercukltd,... eye doctors attending . A great boost to our efforts in these markets ... ENTOD displaying at the opti in Munich (Germany). Image.,eye doctors,Germany,https://twitter.com/ercukltd,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN3KNFileS_3-F6DHeN1z8_YIRMvqtrtmxKV3pnt0O_jx6z7qrSkjZqBY&s
ConferenceSeries - X,https://twitter.com/conferenceserie,X (formerly Twitter),› conferenceserie,"Excited for Euro Ophthalmology 2025 in vibrant Berlin, Germany! Join us on March 17-18, 2025, for cutting-edge insights in eye care and vision research.",Ophthalmology,Germany,https://twitter.com/conferenceserie,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcy-ebC6t6MJ66A5EZpWUPguM95neiZMeaZzb2fXDXPrHTYh7KvdCcmjZ5&s
"Springer Nature Ophthalmology on X: """"This study in ...",https://twitter.com/SN_Ophthalmol/status/1840723268602589293,X (formerly Twitter),› SN_Ophthalmol,30 Sept 2024 ... ... outcomes related to ciclosporin A 0.1% cationic emulsion for the long-term treatment of dry eye disease in Germany https://t.co/v9fYXNY9ST.,...,eye,https://twitter.com/SN_Ophthalmol/status/1840723268602589293,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRIcmBt-gnOD2NEpELZmtRohl2bIL2-x66EOdsLbgzQmOX9igQ4DapC6k&s
Twish (@TwishaaS) / X,https://twitter.com/twishaas,X (formerly Twitter),› twishaas,Nice interview with one of the authors of Ophthalmology Made Easy... https://iglobalnews.com/newsviews/dr-t ...,Ophthalmology,,https://twitter.com/twishaas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQcoak6FKVG7D-2-E9xrQI5PQt-0Ma0-DiTQRyBUouFI5j1Mwn34XFcts&s
Ophthalmology (@M_Ophthalmology) / X - Twitter,https://twitter.com/M_Ophthalmology,X (formerly Twitter),› M_Ophthalmology,... #hematology #CovidVaccine #health #vaccination #research #dermatology #Germany #USA #England #Hollande #switzerland #sweden #norway #Canada. Image.,Germany,,https://twitter.com/M_Ophthalmology,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRKNNihdHd8e23V6F2nREisImrGFiwl2EsK1HFrTp4azgAVEu74OhXGUgKK&s
Dhaval n patel (@Dhvalnpatel7) / X,https://twitter.com/dhvalnpatel7,X (formerly Twitter),› dhvalnpatel7,Eye doctor (Ophthalmologist)..  ...Barcafan...,Eye doctor,Ophthalmologist,https://twitter.com/dhvalnpatel7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNX_wAlTQDhYxjy2f8viJCUrGJ1m3ud40QYfjtIT22RTiMzb8CPefVXR1K&s
medignition - X.com,https://twitter.com/medignition,X (formerly Twitter),› medignition,medignition founder Lucas M. Bachmann on why #ophthalmology needs to change and what role #DigitalHealth plays in its transformation.,ophthalmology,,https://twitter.com/medignition,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpuEgP8ec1K36tbGb4eFUsNAACSoCVWivgdWBwqGz83NXijiOm9g1GuIU7&s
EziDrops - X,https://twitter.com/ezidrops,X (formerly Twitter),› ezidrops,EziDrops is the Eziest Way to put eye drops into your Eyes ... EziDrops is in Germany... Hallo Deutschland! The EziDrops Team #ophthalmologist #glaucoma ...,Germany,ophthalmologist,https://twitter.com/ezidrops,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHZY3tdvgTUFDhjXfoAWUYfmKJvL_Pt_1jBDvKZy7f-6SUPdz907jhQ9di&s
Vesber Biotech (@Vesber_Biotech) / X,https://twitter.com/Vesber_Biotech,X (formerly Twitter),› Vesber_Biotech,... eye patient by Prof. Deng Aijun's team in the Affiliated Hospital of ... Vesber Biotech establish Vesber R&D center in Duisburg Germany！,eye,Germany,,
FCI Ophthalmics (@FCI_Ophthalmics) / X,https://twitter.com/fci_ophthalmics,X (formerly Twitter),› fci_ophthalmics,"... Berlin, Germany.     The team is looking forward to seeing you all! https://bit.ly/3CFm1dG https://bit.ly/3CFm1dG #ophthalmology #expert. Image.",Germany,ophthalmology,https://twitter.com/fci_ophthalmics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCO2HefCIbXHsZp9tvzlWWg_FPRA53IRUIwHXNsDOrG_Oriz5vi4PmJCc&s
Ambler Surgical (@AmblerSurgical) / X,https://twitter.com/amblersurgical,X (formerly Twitter),› amblersurgical,Nov 14. Today is World Diabetes Day Ambler Surgical proudly supports eye care professionals with the specialized tools needed to treat Diabetic ...,eye,specialized,https://twitter.com/amblersurgical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_RBOpTN49uTwD81Zd3ZdHlsjLGb814IZSUryOVmo9nT7nqmS3hkUJPWYB&s
"SOE on X: """"Read the SOE Observership placement report from Irina ...",https://twitter.com/soevisionorg/status/1037625589690245121,X (formerly Twitter),› soevisionorg,"6 Sept 2018 ... ... University Hospital of Cologne, Germany. Read all about her experiences at the clinic. https://t.co/6Yyf7Gkpak #observership #Ophthalmology #",...,Germany,,
Fiona Anderson (@FiAndOptician) / X,https://twitter.com/FiAndOptician,X (formerly Twitter),› FiAndOptician,"A Dispensing Optician, Ophthalmologist, Orthoptist & Optometrist at @spectaclemakers livery Eye Health event at @GSTTnhs. A pleasure to talk & share stage ...",Optician,Ophthalmologist,https://twitter.com/FiAndOptician,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9WimdItgH9QBZS0RVP9HTus1evhkdtccdVhXRG5NGL3lMDSVxgVJqoFAx&s
Vesber Biotech (@Vesber_Biotech) / X,https://twitter.com/Vesber_Biotech,X (formerly Twitter),› Vesber_Biotech,... eye patient by Prof. Deng Aijun's team in the Affiliated Hospital of ... Vesber Biotech establish Vesber R&D center in Duisburg Germany！,eye,Germany,,
"Jack Brown Eyecare on X: """"Public service announcement after last ...",https://twitter.com/jbeyecare/status/1801993835565797809,X (formerly Twitter),› jbeyecare,15 Jun 2024 ... ... witwasthat #nomoreplease #euros2024 #SCOGER #scotland #germany #scottishnationalteam #tartanarmy #football #soccer #optician #eyes.,...,germany,https://twitter.com/jbeyecare/status/1801993835565797809,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREZO7pcTtav8XHfBSm6Y4QHtBrEe0FPlLJ6_Pm4BPwShJ87MbNFdVe2fw&s
Razi (@Razi66752355) / X,https://twitter.com/razi66752355,X (formerly Twitter),› razi66752355,Be aware of unearned wisdom. based in Germany Public Health Law & policy Researcher ... You're friendly Eye Doctor here Nick makes several professional ...,Germany,Eye Doctor,https://twitter.com/razi66752355,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe3LYKHyBTeT1oFyZqW2xWW95zFrWt0gKgnfyIWOERHzJevUAGyA49lzpy&s
"LVPEI on X: """"#LVPEI & @OptometryIndia co-hosted the 34th ...",https://twitter.com/lvprasadeye/status/1815806970202579241,X (formerly Twitter),› lvprasadeye,"23 Jul 2024 ... ... 52 delegates from neuro-ophthalmology, optometry & more >Participants from #India #USA #UK #Spain #Germany #Switzerland #Australia.",...,ophthalmology,https://twitter.com/lvprasadeye/status/1815806970202579241,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRR5-F-1FKEK1QdaD2wzg0HM8jFP0dzzThAMHJ73nOoZJROaE_I7Bhm3zDp&s
Retina International (@Retina_Int) / X,https://twitter.com/retina_int,X (formerly Twitter),› retina_int,"Speakers: Eye Surgeon Mr Mark Cahill, Prof of Genetics. @mattcampbelltcd ... Germany, and the US” in JAMA Ophthalmology. Official press release : https ...",Germany,Ophthalmology,https://twitter.com/retina_int,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzImPZxnwhhmwO7qIjQm6Jy4L8ReQdmD0gdq78EpYEnf9nbxbvKGsAEE3g&s
SimulEYE - X,https://twitter.com/simuleye,X (formerly Twitter),› simuleye,"Training Surgeons, Supporting Industry and Improving outcomes. We are the leader in Ophthalmic Surgical Eye Models ... Germany. Our products are shining brightly ...",Eye,Germany,https://twitter.com/simuleye,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl9EOCtIF13B2xPi1nUB9FBYTJwWLdFAsk9mnNyTSiaY6UbmQ_15rmdvw&s
Diana Pauly (@DianaPauly11) / X,https://twitter.com/dianapauly11,X (formerly Twitter),› dianapauly11,I am looking forward to the best of Germany - the north and the sea. ... Now the eye doctors can finally really offer a treatment to the patients with dry AMD.,Germany,eye doctors,https://twitter.com/dianapauly11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzI8Ec5n8DyyXmwhdgHsBsqmyJnHga4fQ1N_Gcfp4xFpaL_Z4iJN1dGHE&s
"Qi Cui, MD PhD (@CuiLab) / X",https://twitter.com/cuilab,X (formerly Twitter),› cuilab,"Nov 2. A century ago, Germany's democracy was hijacked by a bombastic and ... Department of Ophthalmology & Scheie Eye Institute · @ScheieEye. ·. Oct 1. CHRD ...",Germany's,Ophthalmology,https://twitter.com/cuilab,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGkGfH7hqOhxMrg3bZ5Advf8TIUHjwOVHXV6ZKLZqaGoKvwdxNnBQ2Gyw&s
Itopian Optical (@Itopianoptical) / X,https://twitter.com/itopianoptical,X (formerly Twitter),› itopianoptical,Our owner recently visited the Maybach eyeglasses factory in Germany. ... Your expert eye doctors share four warning signs of age-related eye problems.,Germany,eye doctors,https://twitter.com/itopianoptical,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4N6WnwMAv_8DNyRnTVoPy7mXiY3FD5AOhXADlbTM8H-0_soA2zUr34Hdh&s
OCULUS Optikgeräte GmbH (@OCULUSofficial) / X,https://twitter.com/oculusofficial,X (formerly Twitter),› oculusofficial,"... eye care professionals around the world. Impressum: http://oculus.de/impressum. Wetzlar, Germany oculus.de Joined February 2014. 155 Following · 285 Followers.",eye,Germany,https://twitter.com/oculusofficial,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8bwFq0jdDE-gfXvxmkKviGfVpIeR3UEYSJOWhouEWEsY06L5wttnemzU&s
Dr. Anshuman Gahlot (@anshumaan_india) / X,https://twitter.com/anshumaan_india,X (formerly Twitter),› anshumaan_india,"Eye Specialist and Vitreo Retina Surgeon. Bikaner Joined September 2011. 335 ... From US to Singapore, Germany to Thailand. The world continues to stand ...",Eye Specialist,Germany,https://twitter.com/anshumaan_india,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXFje0_96U2i8qOkwiURV-Ix2iAnA_fezuP0Rrs3ZGnj0vLBqAU0Z3IVs&s
"Megan Scott on X: """"#Euroscicon cordially invites everyone to our ...",https://twitter.com/MeganSc11969404/status/1613031402257383424,X (formerly Twitter),› MeganSc11969404,"11 Jan 2023 ... ... Germany. #Ophthalmology #Retina #Cornea. ... , """"5th International Conference on Ophthalmology & Eye Surgery ,"""" on #March 23-24, 2023, in ...",...,Germany,,
Movu Inc. (@movu_inc) / X,https://twitter.com/movu_inc,X (formerly Twitter),› movu_inc,"·. Feb 15, 2017. Visit. @EyetecGmbH. at 31. Kongress der DGII 2017 in Dortmund, Germany 2/16-18. See ARGOS for yourself! http://bit.ly/2lLFPZU #Ophthalmology.",Germany,Ophthalmology,https://twitter.com/movu_inc,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYyxmU6Bn7MWNKBxQVRJDWHdlGu6IKeImla6Q4rFRiE4_FujghgYqG0K4&s
Will Tucker (@Will_UveitisMEH) / X,https://twitter.com/will_uveitismeh,X (formerly Twitter),› will_uveitismeh,Uveitis Consultant Ophthalmologist at Moorfields Eye Hospital and Divisional Director Moorfields South. #Allviewsmyown. ... on Germany's national broadcatser.,Ophthalmologist,Germany's,https://twitter.com/will_uveitismeh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0R031gQfXIj16q_3qDop65u-2v4Qk1aLpiyqjAAAj-nQRbhfgSEzBHvNX&s
"Ministry of Health on X: """"CS Nakhumicha Conducts ...",https://twitter.com/MOH_Kenya/status/1751917065022132587,X (formerly Twitter),› MOH_Kenya,29 Jan 2024 ... ... eye unit receiving funding from the Government of Germany for advanced ophthalmology equipment. CS Nakhumicha praised the development of a ...,...,Germany,https://twitter.com/MOH_Kenya/status/1751917065022132587,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8WsFQUkPBfnv5Tck7U2aNhS1Ak4LOND2S9tPphjgR6392Zhb3l6L3dto&s
Soheil Adib-Moghaddam (@drsoam1) / X,https://twitter.com/drsoam1,X (formerly Twitter),› drsoam1,"Knowledge Lover, Daydreamer. Founder of Universal Council of Ophthalmology( UCO), Co-founder of Hash-tech, Ophthalmologist.",Ophthalmology,Ophthalmologist,https://twitter.com/drsoam1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIX4a2XuDZr6uyuabIpWPX_Uz4PLpWonwC2_-OD7v3En7JIYhIh7JN5tE&s
