Col0,Col0_HREF,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9_HREF,Col10_SRC
"Middle East Eye on X: """"HRW called on Germany to confirm whether ...",https://twitter.com/MiddleEastEye/status/1789475548441215088,Eye,Germany,X (formerly Twitter),› MiddleEastEye,› status,12 May 2024 ... HRW called on Germany to confirm whether it has imposed a year-long ban on British-Palestinian surgeon Ghassan Abu Sittah from entering ...,...,Germany,https://twitter.com/MiddleEastEye/status/1789475548441215088,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
Tom Spurling (@TomSparlo1) / X,https://twitter.com/tomsparlo1,,,X (formerly Twitter),› tomsparlo1,,"$EYE.ax $EYE Our team is in Nuremberg, Germany for the 35th International Congress of German Ophthalmic Surgery. @DOC2021x · https://linkedin.com/posts/nova-eye ...",Germany,German Ophthalmic Surgery,https://twitter.com/tomsparlo1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNT7aBpHcCo-2R1u3evBN3SvAjhB0hxmy01gglbbqM2tII6sOelMp12Yg&s
"Bayern News world on X: """"Hans-Joachim Watzke about the ...",https://twitter.com/BayernNewsw/status/1862875169804386507,,,X (formerly Twitter),› BayernNewsw,› status,"30 Nov 2024 ... ... two clubs that have by far the most appeal in Germany. And anyone who doesn't see that should go see an eye doctor."""" [@SkySportDE] #BVBFCB.",...,Germany,https://twitter.com/BayernNewsw/status/1862875169804386507,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFFaiDIMDXM6TObeM6RfCqWo-g21UsIkxCvancg3hspsbJusb-2MBq_A&s=0
"Middle East Eye on X: """"HRW is urging Germany to clarify the ...",https://twitter.com/MiddleEastEye/status/1788996051648630976,Eye,Germany,X (formerly Twitter),› MiddleEastEye,› status,"10 May 2024 ... HRW is urging Germany to clarify the reasons behind a travel ban preventing British-Palestinian surgeon Ghassan Abu Sittah, who operated in ...",...,Germany,https://twitter.com/MiddleEastEye/status/1788996051648630976,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
Dinesh Verma (@DV36) / X,https://twitter.com/dv36,,,X (formerly Twitter),› ...,,"Consultant Eye Surgeon, Author, Inventor & Artist..living at the cutting edge..three books published Relative Happiness,ni4ni and Thank God I'm a sucker.",Eye Surgeon,,https://twitter.com/dv36,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAKuKVL5M3_KKtqBYzFVmtstlrQEcp6hFcnZo3FjZYJZQ7Byc84hjW1EmV&s
"Middle East Eye on X: """"Prominent British-Palestinian surgeon ...",https://twitter.com/MiddleEastEye/status/1778796427986010455,Eye,surgeon,X (formerly Twitter),› MiddleEastEye,› status,12 Apr 2024 ... Prominent British-Palestinian surgeon Ghassan Abu Sittah said authorities in Germany have detained him and are refusing him entry into the ...,...,surgeon,https://twitter.com/MiddleEastEye/status/1778796427986010455,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
Baridueh Badon (@BadonB) / X,https://twitter.com/badonb,,,X (formerly Twitter),› badonb,,"I live and work in Germany and my German language skills is A1, very basic. ... Between 1990-1994, Bashar Al Assad was an eye surgeon in London and was described ...",Germany,German,https://twitter.com/badonb,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfqmMtGvos-dz99cpi9X8iIBIXcrxjvbrKVpNUTs4zUnalhMlLlL0xE_Ig&s
Ahmad A. Aref (@ahmadaref) / X,https://twitter.com/ahmadaref,,,X (formerly Twitter),› ahmadaref,,"Chicago Eye Surgeon. ... Germany (7.3%, GDP 3.5T USD), China (9.59%, GDP 11.2T USD), and the U.S. (11.237%, GDP 18.57T USD) are top three contributors ...",Eye Surgeon,Germany,https://twitter.com/ahmadaref,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQG4eHC3UZb401CLdB8mXoBx73Yb2RZ-z4259PuXXUmxADIYD3pS72g9Rf1&s
"Middle East Eye on X: """"British-Palestinian surgeon Ghassan Abu ...",https://twitter.com/MiddleEastEye/status/1778871852938482010,Eye,surgeon,X (formerly Twitter),› MiddleEastEye,› status,"12 Apr 2024 ... British-Palestinian surgeon Ghassan Abu Sittah on Friday said Germany was """"silencing a witness to genocide before the ICJ"""", which he said, ...",...,surgeon,https://twitter.com/MiddleEastEye/status/1778871852938482010,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
IndividualEyes (@IndividualEyess) / X,https://twitter.com/individualeyess,,,X (formerly Twitter),› individualeyess,,"Myopia Control. Optometrist (Eye Doctor) Richmond Hill, Ontario ... hand made in Germany, extremely light weight, minimalistic frames. 🛍️ The sale ...",Eye Doctor,Germany,https://twitter.com/individualeyess,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvgd7mKrJVDsgi2JD-QSDN0_cx2q-D8tGekXEwmwZWmlFXpWfyF4tTAYsP&s
"Benjamin Fogel on X: """"Germany doing German things again"""" / X",https://twitter.com/BenjaminFogel/status/1778790579205214694,Germany,German,X (formerly Twitter),› BenjaminFogel,› status,Germany doing ... Middle East Eye · @MiddleEastEye. ·. Apr 12. Germany detains Gaza surgeon Ghassan Abu Sittah and 'refuses him entry' https://pulse.ly/ ...,Germany,Eye,https://twitter.com/BenjaminFogel/status/1778790579205214694,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSppT-2Dkgsj32MnuLXMeU_7Aqw6zCSinE4YKQufhaF2ekVLvs0Syn4jY4&s
"Middle East Eye on X: """"“Germany has an obligation not only to ...",https://twitter.com/MiddleEastEye/status/1789048934607868198,Eye,Germany,X (formerly Twitter),› MiddleEastEye,› status,"HRW calls on Germany to explain Europe travel ban on surgeon Ghassan Abu Sittah. From middleeasteye.net · 9:44 PM · May 10, 2024. ·. 5,117.",Germany,surgeon,https://twitter.com/MiddleEastEye/status/1789048934607868198,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAItwD2V3n_kXKomHlS08K1hGQPBIHABWRGPHQKgEMQAymzW4Lf_xpJ4_W&s
Gordon R. Hay Moorfields - X.com,https://twitter.com/gordonrhay_md,,,X (formerly Twitter),› gordonrhay_md,,"Prof George J Kahaly, Chief Physician at JGU in Mainz (Germany) and board member of EUGOGO. ... Training yhe next generation of eye surgeons. @UCLMoorfieldsEd.",Germany,eye surgeons,https://twitter.com/gordonrhay_md,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhBP1HnSPhkkQyfs5urCOmKWNd8IMQEmUoB8igt1TJiyYIGf_zbeg-j7Hd&s
"Middle East Eye on X: """"“Germany has an obligation not only to ...",https://twitter.com/MiddleEastEye/status/1789048934607868198,Eye,Germany,X (formerly Twitter),› MiddleEastEye,› status,"HRW calls on Germany to explain Europe travel ban on surgeon Ghassan Abu Sittah. From middleeasteye.net · 9:44 PM · May 10, 2024. ·. 5,117.",Germany,surgeon,https://twitter.com/MiddleEastEye/status/1789048934607868198,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAItwD2V3n_kXKomHlS08K1hGQPBIHABWRGPHQKgEMQAymzW4Lf_xpJ4_W&s
"Middle East Eye on X: """"British-Palestinian surgeon Ghassan Abu ...",https://twitter.com/MiddleEastEye/status/1778837912156594257,Eye,surgeon,X (formerly Twitter),› MiddleEastEye,› status,"Germany detains Gaza surgeon Ghassan Abu Sittah and 'refuses him entry'. From middleeasteye.net · 5:29 PM · Apr 12, 2024. ·. 5,554. Views. 46. Reposts.",Germany,surgeon,https://twitter.com/MiddleEastEye/status/1778837912156594257,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
"Merdoc Nizmy on X: """"eye surgery...schade"""" / X",https://mobile.twitter.com/merdoc007/status/492265920639688704,eye surgery,,X (formerly Twitter),› merdoc007,› status,"Conversation. Merdoc Nizmy · @merdoc007. eye surgery...schade. 11:11 AM · Jul 24, 2014 from Hamburg, Germany.",eye surgery,Germany,,
"Islam Ahmadiyya on X: """"Ahmadi Muslims in Germany have built a ...",https://twitter.com/AhmadiyyaDE/status/856798086689161218,Germany,,X (formerly Twitter),› AhmadiyyaDE,› status,25 Apr 2017 ... Ahmadi Muslims in Germany have built a Mobile Eye Clinic. It'll soon depart for Africa—provide a range of essential eye treatments for free.,...,Germany,https://twitter.com/AhmadiyyaDE/status/856798086689161218,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQi_ipCNrwsmqNr4mIkE7ih842X2lDYHKtoFUlDVZxYoFeRyYBAwLeWntc&s
"Bayern News world on X: """"Hans-Joachim Watzke about the ...",https://twitter.com/BayernNewsw/status/1862875169804386507,,,X (formerly Twitter),› BayernNewsw,› status,"30 Nov 2024 ... ... two clubs that have by far the most appeal in Germany. And anyone who doesn't see that should go see an eye doctor."""" [@SkySportDE] #BVBFCB.",...,Germany,https://twitter.com/BayernNewsw/status/1862875169804386507,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTFFaiDIMDXM6TObeM6RfCqWo-g21UsIkxCvancg3hspsbJusb-2MBq_A&s=0
Dr. Anshuman Gahlot (@anshumaan_india) / X,https://twitter.com/anshumaan_india,,,X (formerly Twitter),› anshumaan_india,,"Eye Specialist and Vitreo Retina Surgeon. Bikaner Joined September 2011. 335 ... From US to Singapore, Germany to Thailand. The world continues to stand ...",Eye Specialist,Germany,https://twitter.com/anshumaan_india,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXFje0_96U2i8qOkwiURV-Ix2iAnA_fezuP0Rrs3ZGnj0vLBqAU0Z3IVs&s
IndividualEyes (@IndividualEyess) / X,https://twitter.com/individualeyess,,,X (formerly Twitter),› individualeyess,,"Myopia Control. Optometrist (Eye Doctor) Richmond Hill, Ontario ... hand made in Germany, extremely light weight, minimalistic frames. 🛍️ The sale ...",Eye Doctor,Germany,https://twitter.com/individualeyess,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvgd7mKrJVDsgi2JD-QSDN0_cx2q-D8tGekXEwmwZWmlFXpWfyF4tTAYsP&s
Haag-Streit Simulation (@HS_Simulation) / X,https://twitter.com/hs_simulation,,,X (formerly Twitter),› hs_simulation,,"Mannheim, Germany haag-streit-simulation.com Joined April 2016 ... We are excited to announce that artifacts from our second-generation DC-10 Flying Eye ...",Germany,Eye,https://twitter.com/hs_simulation,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQexhmMgMkVyWo-W2Z2sRXMmTZKiNIstaCEnlddmD6fooXwdGI5T1aovoDj&s
"Bilal Mahmood on X: """"#Ahmadiyya Muslims in Germany build ...",https://twitter.com/bilalmahmooduk/status/856516875706138625,Germany,,X (formerly Twitter),› bilalmahmooduk,› status,"24 Apr 2017 ... Ahmadiyya Muslims in Germany build """"Mobile eye clinic"""" to treat poor patients in Africa. True Islam about serving mankind #mondaymotivation.",...,Germany,https://twitter.com/bilalmahmooduk/status/856516875706138625,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb6O7KqcRDqhDd0k-GRzSpHCYarYPukTt3-G3jIaYsYrOtCdX6cj2eHuI&s
"Jacob Bank on X: """"Coolest new user of @relay today: An Irish pro ...",https://twitter.com/jebank/status/1826320239841476783,,,X (formerly Twitter),› jebank,› status,"21 Aug 2024 ... ... Irish pro basketball team. Honorable mention: used DVD business in Germany, elementary school in Georgia, laser eye surgery clinic in Delaware.",...,Germany,https://twitter.com/jebank/status/1826320239841476783,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSyMZVOLdu6dvmjsmVSf6-NMk6rS4AkC9eITYqKL100VxPgNvi5GATCRAu&s
Humanity First Kenya (@HumanityFirstKE) / X,https://twitter.com/humanityfirstke?lang=gu,,,X (formerly Twitter),› humanityfirstke,,29 જૂન. Thanks to donors in #Germany our. @HumanityFirstDE. team sponsors free cataract eye #surgery through our mobile unit in #Benin and #Togo.,Germany,eye,https://twitter.com/humanityfirstke?lang=gu,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbNpjymEJBPQ7xnYm3Jy5HOHDCAyFIUbZwP7G5VPYDRUF79yFH26IDNoWy&s
UCL & Moorfields Education (@UCLMoorfieldsEd) / X,https://twitter.com/uclmoorfieldsed,,,X (formerly Twitter),› uclmoorfieldsed,,"Providing education in partnership for ophthalmologists, optometrists, orthoptists, vision scientists and other professionals interested in the eye care ...",eye,,https://twitter.com/uclmoorfieldsed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGcpKEx3jjxh-r6EillHw19-abxDMCGgZS_ZiaBiSvA3875-ue9ZSAeY44&s
"Middle East Eye on X: """"UK director for Human Rights Watch, stated ...",https://twitter.com/MiddleEastEye/status/1789090544167088176,Eye,,X (formerly Twitter),› MiddleEastEye,› status,11 May 2024 ... HRW has requested an explanation from the German government. HRW calls on Germany to explain Europe travel ban on surgeon Ghassan Abu Sittah.,...,German,https://twitter.com/MiddleEastEye/status/1789090544167088176,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAItwD2V3n_kXKomHlS08K1hGQPBIHABWRGPHQKgEMQAymzW4Lf_xpJ4_W&s
FCI Ophthalmics (@FCI_Ophthalmics) / X,https://twitter.com/fci_ophthalmics,,,X (formerly Twitter),› fci_ophthalmics,,"Since 1984, FCI Ophthalmics has become a world leader in the development of ophthalmic surgical devices. #Cataract #DryEye #Vitreoretinal #orbital.",ophthalmic surgical,,https://twitter.com/fci_ophthalmics,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCO2HefCIbXHsZp9tvzlWWg_FPRA53IRUIwHXNsDOrG_Oriz5vi4PmJCc&s
EyeSustain_Official (@EyeSustain_) / X,https://twitter.com/eyesustain_,,,X (formerly Twitter),› eyesustain_,,EyeSustain is a global coalition of eye societies and ophthalmologists collaborating to make ophthalmic care and surgery more sustainable.,eye,ophthalmic,https://twitter.com/eyesustain_,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUJHaypXMAsksdnbSIB2AdzP1XDGfKVFUT9e1fkqeERo0-6HvD8IehA6dm&s
George Mavro (@mavroinc) / X,https://twitter.com/mavroinc,,,X (formerly Twitter),› mavroinc,,"Talk to your eye doctor about options that could help protect against vision loss. ... Nov 14, 2016. Report: Germany's Carl #Zeiss Looking for Takeovers ...",eye doctor,Germany's,https://twitter.com/mavroinc,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHlzxiXPE7E3ijtAxBGPovmCZegYtlPP1IkJXqV3B6akrLj8SBqt5ZtJc&s
"Dr. Ali BAKIR (علي باكير) on X: """"             Fearing that his testimony ...",https://twitter.com/AliBakeer/status/1788569669957243232,,,X (formerly Twitter),› AliBakeer,› status,"9 May 2024 ... ... eye-witness would jeopardize its narrative in defense of the #Israeli genocide in #Palestine, #Germany banned renowned #UK citizen & surgeon.",...,eye,https://twitter.com/AliBakeer/status/1788569669957243232,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsU74tAib9NEhY0eiYEyJKwPK5VpVjZtPZVpzgxwQPz9ajV_YJeUs9W3M&s
"Megan Scott on X: """"#Euroscicon cordially invites everyone to our ...",https://twitter.com/MeganSc11969404/status/1613031402257383424,,,X (formerly Twitter),› MeganSc11969404,› status,"11 Jan 2023 ... ... International Conference on Ophthalmology & Eye Surgery ,"""" on #March 23-24, 2023, in Berlin, Germany. #Ophthalmology #Retina #Cornea.",...,Eye Surgery,,
Dhaval n patel (@Dhvalnpatel7) / X,https://twitter.com/dhvalnpatel7,,,X (formerly Twitter),› dhvalnpatel7,,Eye doctor (Ophthalmologist)..  ...Barcafan...,Eye doctor,Ophthalmologist,https://twitter.com/dhvalnpatel7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNX_wAlTQDhYxjy2f8viJCUrGJ1m3ud40QYfjtIT22RTiMzb8CPefVXR1K&s
ilamed (@ilamed199) / X,https://twitter.com/ilamed199,,,X (formerly Twitter),› ilamed199,,The Indo-German Board of Aesthetic Medicine and Surgery (IGBAMS) was created ... Are those baggy eyes constantly making you look tired? @dr .ajayrana ...,German,Surgery,https://twitter.com/ilamed199,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTah7XF9CgOcYL6ppItSDE7FyD4Egw_X3rI5JUMquAvRPGTlDF5Q-elvZA&s
Qasim Malik (@MalikMq1) / X,https://twitter.com/malikmq1,,,X (formerly Twitter),› malikmq1,,... germany #usa #surgeon. Image ... eye #eyes #cataract #vision #lasik #cataractsurgery #eyehealth #retina #optometry #optometrist #glaucoma #surgery ...,germany,surgeon,,
"Middle East Eye on X: """"British-Palestinian surgeon Ghassan Abu ...",https://twitter.com/MiddleEastEye/status/1778837912156594257,Eye,surgeon,X (formerly Twitter),› MiddleEastEye,› status,"Germany detains Gaza surgeon Ghassan Abu Sittah and 'refuses him entry'. From middleeasteye.net · 5:29 PM · Apr 12, 2024. ·. 5,554. Views. 46. Reposts.",Germany,surgeon,https://twitter.com/MiddleEastEye/status/1778837912156594257,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvnuKM38ioHjbpS7Mz1oADQQ6-pjQQl9QsHnN5WlrOY2NlMPyFzkoh5A&s=0
TeleMedC (@TeleMedC1) / X,https://twitter.com/telemedc1,,,X (formerly Twitter),› telemedc1,,"TeleMedC is developing the next generation ophthalmic diagnostic imaging systems. Australia, Singapore, Germany.",ophthalmic,Germany,https://twitter.com/telemedc1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNgqAgqCKYNzKqoHB4SPxERkFDikp7c7YtoCtltqlAolP8WFqET9jls-FI&s
Will Tucker (@Will_UveitisMEH) / X,https://twitter.com/will_uveitismeh,,,X (formerly Twitter),› will_uveitismeh,,Uveitis Consultant Ophthalmologist at Moorfields Eye Hospital and Divisional Director Moorfields South. #Allviewsmyown. ... on Germany's national broadcatser.,Ophthalmologist,Germany's,https://twitter.com/will_uveitismeh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0R031gQfXIj16q_3qDop65u-2v4Qk1aLpiyqjAAAj-nQRbhfgSEzBHvNX&s
SurgiCube - X.com,https://twitter.com/surgicube,,,X (formerly Twitter),› surgicube,,"Ramón Hilberink on LinkedIn: Let's meet in Hamburg, Germany this week: Euretina booth H61. ... Congratulations to The Wye Clinic's eye surgeons, who have just won ...",Germany,eye surgeons,https://twitter.com/surgicube,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrcNtB93st1bGC1q88hNRqfng2MX9H3CMEncOpF9SGudkUhGZwpfQcG7NZ&s
