Col0,Col0_HREF,Col1,Col2,Col3,Col4,Col5,Col6,Col7_HREF,Col8_SRC
M4MvsCOVID - X.com,https://twitter.com/m4mvscovid,X (formerly Twitter),› ...,,... Medizinern für Mediziner im Kampf gegen COVID. #M4MvsCOVID. Translate bio. Germany m4mvscovid.de Joined April 2020. 8 Following · 821 Followers · Posts.,Germany,,https://twitter.com/m4mvscovid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2DzmO9R-fVOqDGIeMQE-4vIaDHtdDa1Nk-YU3lsDNdM334NoVS4LoScKv&s
Ramona Seitz (@SeitzRamona) / X,https://twitter.com/seitzramona,X (formerly Twitter),› seitzramona,,"At the beginning of the 20th century, the German Empire was one of the largest colonial powers. This is still barely present in the public consciousness. The...",German,,https://twitter.com/seitzramona,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRADfDO7qdCFZ2LPULWVApW8nJWfGKr0zE-Gy0Wzz3owDpdzUcE8c-DUFJQ&s
At Home AG @GrosseSchanze. Arti & branch McBees - X,https://twitter.com/erucallmedia,X (formerly Twitter),› erucallmedia,,"Der frühere Augenarzt, auf dem die Hoffnungen ruhten, als er im Jahr 2000 an die ... The proportion of communes with people affected by homelessness is higher in ...",Augenarzt,,,
Mehrdad-Sam Attaran (@docmsam) / X,https://twitter.com/docmsam?lang=cs,X (formerly Twitter),› docmsam,,Mehrdad-Sam Attaran. @docmsam. Augenarzt (ophthalmologist). Hannover/ Germany drattaran.net Uživatel se připojil červen 2014. 97 Sledování · 13 Sledujících.,Augenarzt,Germany,https://twitter.com/docmsam?lang=cs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6FSSy4X1fdxsseN1cj9h7L8luqM0s7VeQoohpcMiJcm_FMtUUuv3tAdE&s
Mann vom Podcast von Hazel Brugger und ihrem Mann - X,https://twitter.com/spitzerthomas,X (formerly Twitter),› spitzerthomas,,Warum heißt es Augenarzt aber nicht Zähnearzt bzw Zahnarzt aber nicht Auge-Arzt? ... Between Two Germans „BEST Movies of 2023“ w/ Scottish YouTube-Movie-Critic ...,Augenarzt,Germans,https://twitter.com/spitzerthomas,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR06i9DtShoEZ89LsQzeNcjoWalKv8Co5c_3rExu4HWoH4nqKews9U1344&s
Bastian (@bastiantge) / X,https://twitter.com/bastiantge,X (formerly Twitter),› bastiantge,,I've always said that Gelsenkirchen was the Philadelphia of Germany ... Ich bin dann zum Augenarzt gegangen und trage seitdem eine Brille. ... Autographs! @Seahawks.,Germany,Augenarzt,https://twitter.com/bastiantge,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjj9OsMXNLfuruGZriVxGH4c6TxrR_fHdg5S1X4lZDKvP1Xz6HfeGGx-Gn&s
Ila Sanchez (@Only_Ila) / X,https://twitter.com/only_ila,X (formerly Twitter),› only_ila,,"Cute Baby Flash Cards iPhone & iPad app for 6m to 4y old kids. In English, Portguese, German, Spansh, Russian, Greek, Italian, French, Chines and Japanese.",German,,https://twitter.com/only_ila,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrDn2plyT75Qji09mZnnTPPsrHqO070R4WUqODAiWI-ju9msddddwxe1jY&s
Karl (@karlander_) / X,https://twitter.com/karlander_,X (formerly Twitter),› karlander_,,"Posts · Replies · Media. Karl's posts. Pinned. Karl · @karlander_. ·. Apr 20. Plakatwand in Coburg, Deutschland Billboard in Coburg, Germany #MECFS. Image.",Germany,,https://twitter.com/karlander_,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxTaotB7G5U7C1QFYmWuCj6irGqJ6PN7c-N9UaD1pgTXnjsQGB3cgxfHE7&s
Luna Kuschel das bin ich! (@DasKuschel) / X,https://twitter.com/daskuschel,X (formerly Twitter),› daskuschel,,"Was natürlich nicht so schön ist, aber die Augenärztin hat Entwarnung gegeben. ... Frauchen ist nervös, sie hat Morgen Früh einen Augenarzt ... Germany +49 721 ...",Augenärztin,Augenarzt,https://twitter.com/daskuschel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQp9zlLZytaio7DQe2MSlau8ITB865O3DDyztRVXXkXeRzKDV1u2NMuLQU&s
Felicitas Blanco Hähn (@FeliBlancoHahn) / X,https://twitter.com/FeliBlancoHahn,X (formerly Twitter),› FeliBlancoHahn,,"Berlin, Germany Joined March 2011. 225 Following · 112 Followers · Posts · Replies ... Mit Kind3 beim Augenarzt. „Was ist das?“ Kind3: „Kreis.“ „Was ist das ...",Germany,Augenarzt,https://twitter.com/FeliBlancoHahn,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROefB3b38GMtc-ncACldmp2FYLqbXr2kkfOp8pF9t5zkkylvlZSS8-kFQ&s
Marianne Falck mariannefalck@reporter.social (@marianne_falck) / X,https://twitter.com/marianne_falck,X (formerly Twitter),› marianne_falck,,"My reporting (in German) ... Fotos von zwei Scheckübergaben an die Erlanger Augenärztin Bettina Hohberger, darüber Ausrisse aus Pressemitteilungen der.",German,Augenärztin,https://twitter.com/marianne_falck,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoxUWd3lSmA4Hp69NSZ7bwAl99ao0twDC5q1OwuODQ-jptdChxbnVYKIBZ&s
Jojo Tv (@JojoTv9) / X,https://twitter.com/JojoTv9,X (formerly Twitter),› JojoTv9,,"Cologne, Germany Joined April 2016. 85 Following · 12 Followers · Posts · Replies · Media ... Ich sitze mit meinem Vater beim Augenarzt. 2.",Germany,Augenarzt,https://twitter.com/JojoTv9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxhtqiXpC_r4D3bl68ELt_xkY_-LSlaJ3hdZXmHl4iW2M70R4ukxqL73Y&s
Lars (@DK7LST) / X,https://twitter.com/dk7lst,X (formerly Twitter),› ...,,"Bremen, Germany (JO43LB) dk7lst.de Joined July 2011. 150 Following · 226 ... Mein Augenarzt hat einen schrägen Humor. Weiße Wand mit einem großen ...",Germany,Augenarzt,https://twitter.com/dk7lst,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv92LRjKipDAPcdw407Si_GneQwi_hH1FzvTaysCwJeVtyMZAxH-xJ1z7D&s
Kieferorthopäde (@ADENTICS_BERLIN) / X,https://twitter.com/adentics_berlin,X (formerly Twitter),› adentics_berlin,,"Ex Gesundheitsminister wollte Augenarzt werden, Herr Bittner hat es mehr mit Zahnspangen. ... Germany´s best dental website 2009. Thanks to our Partners Metome- ...",Augenarzt,Germany,https://twitter.com/adentics_berlin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTymNql5N3LZI8NNTb1gNBIyAoLjYl1v-k4erIgAil_usiaZg3HMGEuvY-h&s
Die Gesichtschirurgen (@DieGesichtschi3) / X,https://twitter.com/diegesichtschi3,X (formerly Twitter),› diegesichtschi3,,-made in Germany #regional -cruelty free #wirliebentiere -paraben ... augenarzt #auge #augenauf #zauberhaft #gesichter #plasmage #plasmalift. Image.,Germany,augenarzt,https://twitter.com/diegesichtschi3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLcMPfmuf-fsK7qgcVisc-zFLlLnxdthReqbfhaB6tlFDuRC4Rn_9jcYoh&s
Presbia Deutschland (@presbia_de) / X,https://twitter.com/presbia_de,X (formerly Twitter),› presbia_de,,"@presbia_de. Lesebrille? Es gibt doch die Presbia Flexivue Microlens™. Mülheim an der Ruhr, Germany presbia.de Joined July 2017. 2 Following · 4 Followers.",Germany,,https://twitter.com/presbia_de,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeMUidh7KbYptj6sIRMYyvXaIBuUz5Ro4VcEPi6T3ruzTEcoSn1aeTZyU&s
Markus. (@gebhardm5) / X,https://twitter.com/gebhardm5,X (formerly Twitter),› gebhardm5,,"Kurpfalz, Germany energyhacks.wordpress.com Joined October 2018. 170 ... Habe eine Kontrolltermin beim Augenarzt bekommen. Vorsorge ist ja besser als ...",Germany,Augenarzt,https://twitter.com/gebhardm5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT--IlhyucIJVnW0IhhWaXqeIYGMLkjmh9zFbyP7aA0lD3KSEF8tALTCCrJ&s
futux,https://twitter.com/futux,X (formerly Twitter),› futux,,"... Germany before the onset of World War I and II. Recently unearthed footage ... Das hat Folgen für die Patienten, sagt Augenarzt Horst Helbig.",Germany,Augenarzt,https://twitter.com/futux,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0v_XlvEJgLU3FOrc8g3u3aMXkKOD_tKk7I80cL7KKfn7tMWdZq3ZCTmJY&s
Jan Merseburger (@jmerseburger) / X,https://twitter.com/jmerseburger,X (formerly Twitter),› jmerseburger,,"Macht jetzt Quiz und so. Translate bio. Germany, Hamburg schwarmintelligenz-quiz.de Joined September 2009 ... Beim Maulwurf-Augenarzt. """"Bitte die untere ...",Germany,Augenarzt,https://twitter.com/jmerseburger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9a4v3PmO-n7jYXJMCTmRwtg8f1hx7rA50GiFr1vbXLJ3fAi__xpGShaE&s
Marco Huber (@landurio) / X,https://twitter.com/landurio,X (formerly Twitter),› landurio,,"Radebeul / Sachsen / Germany landurio.de Joined January 2011. 144 Following ... Besser als jeder Sehtest beim Augenarzt! I scored 23 in kukukube, the ...",Germany,Augenarzt,https://twitter.com/landurio,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_zVL-5VSe2W3IpR3VldGJ8pMmByTlfqw1mlUEPseldOfP7CvP6DtA_KVw&s
ALINA KURTH (@kurth_alina) / X,https://twitter.com/kurth_alina?lang=fi,X (formerly Twitter),› kurth_alina,,"Hesse, Germany Liittyi tammikuu 2017. 76 seurattua · 14 seuraajaa · Julkaisut ... HEUTE ZU Augenarzt  . Kuva.",Germany,Augenarzt,https://twitter.com/kurth_alina?lang=fi,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXMGwNyIuExbUkjfdoht5IzJyujpzkrJMTqBaAEp5og7VpDcax98pJ4Lk&s
Maik Schneider (@Solokrieger) / X,https://twitter.com/solokrieger,X (formerly Twitter),› solokrieger,,Anonymous Germany · @Anonymous00708. ·. Dec 6. MEIDET #Klarna! Wer dem ... Nach Covid sollte man immer den Augenarzt aufsuchen um die Retina genauer. Show ...,Germany,Augenarzt,https://twitter.com/solokrieger,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjQS4cozhkNPSElPNmiyIF4jMLIxeZbUTwZOebVLUHRcZXBac4r5zQXTo&s
"Sebastian J. Laduga on X: """"@AxelKamann Ok. Habe gerade eine ...",https://mobile.twitter.com/Bastian_Laduga/status/1484424222122332160,X (formerly Twitter),› Bastian_Laduga,› status,"21 Jan 2022 ... AxelKamann Ok. Habe gerade eine Dankesmail an meinen Augenarzt, meine Brillen-Zusatzversicherung und meinen Optiker geschickt.",...,Augenarzt,https://mobile.twitter.com/Bastian_Laduga/status/1484424222122332160,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgIdqdyh9zlcG81ayPq0sMHxvanPlYzSsSsDL2w7n9TCtyvB-1mW2jnUM&s
Lasik Welt (@LasikWelt) / X,https://twitter.com/lasikwelt,X (formerly Twitter),› lasikwelt,,"LASIK WELT hilft Ihnen! Translate bio. Cologne, Germany lasik-welt.de Joined January 2012 ... Untersuchungen beim Augenarzt https://goo.gl/TPNdqa ...",Germany,Augenarzt,https://twitter.com/lasikwelt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnkR_XGPu8TW0j8tib39sJAVtleW3ArzzAzLeXnLH421qb8AMeVukTNbGQ&s
"Marcus Anhäuser, @MAnhaeuser@mastodon.social - X",https://twitter.com/anhaeuser,X (formerly Twitter),› anhaeuser,,"Dresden, Germany scienceblogs.de/plazeboalarm/ Joined August 2009. 4,910 ... Fotos von zwei Scheckübergaben an die Erlanger Augenärztin Bettina Hohberger, darüber ...",Germany,Augenärztin,https://twitter.com/anhaeuser,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRanADqVbp749PfHr4utF10UgEaG1xgiXp-CNowYHPRcJOmiuFg__Venyk&s
Honndorf Optik (@HonndorfO) / X,https://twitter.com/HonndorfO,X (formerly Twitter),› HonndorfO,,"Dortmund, Germany honndorf.de Joined July 2016. 23 Following · 19 Followers ... Bei Sehschwäche in der Schwangerschaft sollten Sie zum Augenarzt.",Germany,Augenarzt,https://twitter.com/HonndorfO,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxnoCVEiADGTUXNazYk7pYXagbQedyc0u6F-fO98mRLpSwGnip4SCJEr0&s
Entwicklung wirkt (@eswirkt) / X,https://twitter.com/eswirkt,X (formerly Twitter),› eswirkt,,"Eine Aktion der Organisationen Brot für die Welt, die Christoffel Blindenmission, German Doctors, die Kindernothilfe, MISEREOR und @BMZ_Bund # ... Augenarzt Dr.",German,Augenarzt,https://twitter.com/eswirkt,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwV3Uj_r0o5WE__cUSGsLotOU1jIX8osxMiiQn5s61tkmVO6RC_RyAQRU&s
Betactive - X.com,https://twitter.com/betactive,X (formerly Twitter),› betactive,,... Augenarzt #Ophthalmologie #Augenheilkunde #Hygiene. ZEISS Experience Truck in Nürnberg ... Germany https://instagram.com/p/Bvo2A3MF3M4/?utm_source ...,Augenarzt,Germany,https://twitter.com/betactive,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJnH5U2WPtWzoFCJuDo8Igbm8IQk470wCiPiWX3tHKZId2sJFq3lYvNNY&s
"Der Sitzung on X: """"Eine beim Martinszug am Straßenrand liegende ...",https://twitter.com/realangermouth/status/1060978856386093057,X (formerly Twitter),› realangermouth,› status,"... blinkendem Halsband. Montag gehe ich zum Augenarzt. Translate post. 7:34 PM · Nov 9, 2018 from Düsseldorf, Germany · 407. Reposts · 16. Quotes · 2,908.",Augenarzt,Germany,https://twitter.com/realangermouth/status/1060978856386093057,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvltfnOMlr75oftmn4NIWj_ST6JI9woLfOKusAZl3qQRxSidA8L_Tjaw&s
Martin M. (@mohrwurm) / X,https://twitter.com/mohrwurm,X (formerly Twitter),› mohrwurm,,"Wenn das WLAN beim Augenarzt """"EyesWideOpen"""" heißt, wie heißt das dann bei dem Zahnarzt.. ... [german language] https://goo.gl/msoVf1 #php_appserver #php.",Augenarzt,german,,
RheaLuna (@RheaLuna_) / X,https://twitter.com/rhealuna_,X (formerly Twitter),› rhealuna_,,"Alienware Germany. @AlienwareDE. ·. Oct 18, 2022. Dir fehlt noch die Hardware ... sitze beim Augenarzt.",Germany,Augenarzt,https://twitter.com/rhealuna_,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9O08zlJkMXwLlaRmIb5DFh7MJZPfDZ76W-6Mw5nQguYsdwCMVciSeuUui&s
Lennard Hageleit (@Hageleit_ACAB) / X,https://twitter.com/Hageleit_ACAB,X (formerly Twitter),› Hageleit_ACAB,,"Bremerhaven, Germany Joined September 2016. 5 Following · 0 Followers · Posts ... Heute BEIM Augenarzt gewessen bekomme eine brille :'(.",Germany,Augenarzt,https://twitter.com/Hageleit_ACAB,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEPxgHv57XGOHRnqyy4e-UtuZSG1Mx3Fmi8tC3oI7_RQ9kOQVgPh1lafU5&s
Daniel Flemm (@Daniel__Flemm) / X - Twitter,https://twitter.com/daniel__flemm,X (formerly Twitter),› daniel__flemm,,"A thread on the issue of pulling 9500 troops from Germany. I'll start with ... Gerade hat mich ein Augenarzt angerufen, der ein 11jähriges Mädchen mit Gehirntumor ...",Germany,Augenarzt,https://twitter.com/daniel__flemm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdAjkRCPGl2CRqqYUdo3tL_2y4YEBJAwt-ipq06hvpoHicxRoQDllJ1CE&s
Jochen Syskowski (@kalashnikowski) / X,https://twitter.com/kalashnikowski,X (formerly Twitter),› kalashnikowski,,"Disarmament in Germany! First extrem-right wing members, then bikers, now ... Sollte mal zum Augenarzt. Habe wohl eine Rot/Grün-Schwäche. Kann seit ...",Germany,Augenarzt,https://twitter.com/kalashnikowski,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQazIQcnqMg3e1sx13IWD8aUvLg1ofAUJ0vDAhvPxkgZB0y-IuXY8gwWsql&s
Sarah #TheCoach (@SaSaLaSharif) / X,https://twitter.com/sasalasharif,X (formerly Twitter),› sasalasharif,,"Sitze als “Notfall” beim vierten Augenarzt , weil ich mit einem vereiterten Auge aufgewacht bin. ... Streetart stencil in Altona Hamburg Germany. 1.",Augenarzt,Germany,https://twitter.com/sasalasharif,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeIDGz6kv4jcZKGprl1Qbz9TMw0F8K6nGH0WePdfLGODxy9bPQQ6vYaViA&s
Nadine Schneider (@NadineSchnei137) / X,https://twitter.com/nadineschnei137,X (formerly Twitter),› nadineschnei137,,... germany/saarbruecker-zeitung/20160301/282312499152539… ... Augenarzt #Klinik #Sehen.,germany,Augenarzt,https://twitter.com/nadineschnei137,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTi0KI3fxix_MIT_HMTNROTxyN9QyRx-KRdni-YzleuPYBRU8_4ApOAwdVI&s
Sibylle Dahrendorf ✌️ (@sibylle_berlin) / X,https://twitter.com/sibylle_berlin,X (formerly Twitter),› sibylle_berlin,,"They are seriously ill, without any medical care, in the middle of Germany. ... Fotos von zwei Scheckübergaben an die Erlanger Augenärztin Bettina Hohberger, ...",Germany,Augenärztin,https://twitter.com/sibylle_berlin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSZdBqCLvo1WcEUZIwXTCmOnHbvFj7xFtwty5zdiZpTJDLtKGTBBtxFmml&s
DIGIaccess GmbH (@DIGIaccess_org) / X,https://twitter.com/digiaccess_org,X (formerly Twitter),› digiaccess_org,,"Bonn, Germany digiaccess.org/impressum/ Joined October 2020. 26 Following · 11 ... Worauf kommt es in #Facharztpraxen wie Orthopäde, Frauenärztin oder Augenarzt ...",Germany,Augenarzt,https://twitter.com/digiaccess_org,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOcrcF3qoUYRU0zfzeWaaJwUeumL1-Da3crMi0gIXuabT_1k2s6UC2-NM&s
Sandra Hopp (@hoppel231275) / X,https://twitter.com/hoppel231275,X (formerly Twitter),› hoppel231275,,"Frankfurt on the Main, Germany Joined June 2013. 294 Following · 183 Followers ... Gerade hat mich ein Augenarzt angerufen, der ein 11jähriges Mädchen mit ...",Germany,Augenarzt,https://twitter.com/hoppel231275,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpdReDDg_UvE1UrRk_IbxxfT3deDn5HYmo_eiqDXfHmy4qyGCusbODRiGb&s
Steffen Penk (@steffen_penk) / X,https://twitter.com/steffen_penk,X (formerly Twitter),› steffen_penk,,Bin gerade beim Augenarzt und hab noch keinen Durchblick ... Germany Joined July 2009. 0 Following · 3 Followers · Posts · Replies · Media ...,Augenarzt,Germany,,
